X (ms);C0:Drive_1.r63[0];C1:Drive_1.r80[0];C2:Drive_1.r76;C3:Drive_1.r78;C4:Drive_1.r70
11056,000000;811,270630;0,848945;0,880448;0,135649;588,299988
11064,000000;812,941772;0,719847;0,893646;0,115021;584,600037
11072,000000;815,358398;0,811424;0,903097;0,129653;589,200012
11080,000000;817,896973;0,832407;0,895168;0,133006;586,500000
11088,000000;820,183716;0,845842;0,904403;0,135153;592,900024
11096,000000;822,953796;0,781363;0,894209;0,124850;588,299988
11104,000000;825,606995;0,845431;0,893334;0,135087;583,700012
11112,000000;828,767700;0,853884;0,887903;0,136438;589,200012
11120,000000;830,509949;0,735356;0,877413;0,117499;587,400024
11128,000000;832,502319;0,876243;0,882578;0,140010;592,000000
11136,000000;834,741821;0,697547;0,896333;0,111458;588,299988
11144,000000;837,109375;0,753180;0,906564;0,120347;584,600037
11152,000000;839,103455;0,906599;0,891872;0,144861;589,200012
11160,000000;841,616455;0,788818;0,908455;0,126041;586,500000
11168,000000;843,938416;0,851755;0,892074;0,137335;592,000000
11176,000000;847,180237;0,814686;0,898936;0,130175;587,400024
11184,000000;849,816162;0,725532;0,887621;0,115929;584,600037
11192,000000;852,202148;0,882160;0,879997;0,140956;589,200012
11200,000000;854,975708;0,845946;0,877179;0,135169;585,500000
11208,000000;855,944946;0,811279;0,878551;0,129630;592,000000
11216,000000;859,104614;0,820148;0,882465;0,131047;588,299988
11224,000000;861,390564;0,742178;0,896079;0,118589;583,700012
11232,000000;863,207947;0,814567;0,896700;0,127151;588,299988
11240,000000;866,256470;0,819962;0,899273;0,131078;586,500000
11248,000000;867,948975;0,779509;0,896830;0,124829;592,000000
11256,000000;870,946472;0,780793;0,879355;0,125324;587,400024
11264,000000;873,459229;0,793482;0,883383;0,127722;584,600037
11272,000000;876,891113;0,862078;0,857686;0,139158;588,299988
11280,000000;878,061646;0,789223;0,855104;0,127726;586,500000
11288,000000;881,671570;0,781191;0,834283;0,126818;592,000000
11296,000000;884,373779;0,874197;0,832815;0,142311;588,299988
11304,000000;886,757324;0,840031;0,822276;0,137135;584,600037
11312,000000;889,518005;0,836034;0,808667;0,137338;588,299988
11320,000000;892,864380;0,796060;0,804692;0,130794;586,500000
11328,000000;895,142700;0,862657;0,796782;0,142164;592,000000
11336,000000;898,245789;0,762408;0,799693;0,126004;587,400024
11344,000000;899,488098;0,678518;0,788312;0,112457;585,500000
11352,000000;902,789734;0,802068;0,785636;0,133270;588,299988
11360,000000;905,449707;0,664330;0,784431;0,110694;587,400024
11368,000000;907,414246;0,834236;0,783754;0,139401;592,000000
11376,000000;910,481873;0,692179;0,782733;0,113140;588,299988
11384,000000;911,987549;0,721024;0,777998;0,122745;585,500000
11392,000000;915,023804;0,683796;0,775310;0,115187;588,299988
11400,000000;916,902588;0,697410;0,765877;0,117794;587,400024
11408,000000;919,527649;0,721564;0,771102;0,122185;592,000000
11416,000000;921,463379;0,691960;0,759694;0,117428;588,299988
11424,000000;923,873535;0,661625;0,764626;0,112571;585,500000
11432,000000;926,010742;0,695717;0,755878;0,118637;589,200012
11440,000000;929,252686;0,652541;0,763281;0,111574;587,400024
11448,000000;931,163879;0,735132;0,741073;0,126016;592,000000
11456,000000;933,741638;0,657149;0,747957;0,112928;588,299988
11464,000000;935,844116;0,652345;0,735612;0,112393;585,500000
11472,000000;938,695923;0,672279;0,744778;0,116153;588,299988
11480,000000;940,272034;0,654388;0,729362;0,113291;587,400024
11488,000000;942,637756;0,702319;0,731072;0,121904;592,000000
11496,000000;945,050476;0,661445;0,723201;0,115050;589,200012
11504,000000;947,825562;0,652703;0,728692;0,113844;586,500000
11512,000000;950,019409;0,694248;0,715030;0,121384;588,299988
11520,000000;952,829285;0,618809;0,713713;0,108447;587,400024
11528,000000;954,437622;0,710608;0,703755;0,124851;592,900024
11536,000000;957,599243;0,648756;0,709046;0,114303;589,200012
11544,000000;959,036072;0,676026;0,702534;0,119355;584,600037
11552,000000;961,777710;0,671073;0,692835;0,120484;588,299988
11560,000000;964,095581;0,683085;0,686173;0,121203;587,400024
11568,000000;966,712646;0,686893;0,686347;0,122179;592,900024
11576,000000;969,522644;0,702243;0,688819;0,125268;587,400024
11584,000000;972,002197;0,662711;0,677389;0,118521;585,500000
11592,000000;974,585693;0,697930;0,682596;0,125119;588,299988
11600,000000;976,357056;0,695746;0,671574;0,125014;588,299988
11608,000000;979,013184;0,686090;0,676430;0,123528;592,900024
11616,000000;981,365784;0,682009;0,678793;0,123119;587,400024
11624,000000;983,168335;0,664107;0,671196;0,123256;585,500000
11632,000000;985,601685;0,681929;0,676836;0,123648;588,299988
11640,000000;988,025452;0,677027;0,665297;0,118534;587,400024
11648,000000;990,380066;0,715707;0,666255;0,130465;592,000000
11656,000000;993,555664;0,666659;0,661956;0,121797;588,299988
11664,000000;994,392578;0,615842;0,656080;0,112751;585,500000
11672,000000;997,278442;0,631414;0,658850;0,115887;588,299988
11680,000000;999,439575;0,640660;0,650494;0,117825;588,299988
